variables,type,units,values,description
raft.airfoils_cl,input,,"[[[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[-1.50837428e-03]
   [-1.50837428e-03]
   [-1.50837428e-03]]

  [[ 1.31682666e-01]
   [ 1.31682666e-01]
   [ 1.31682666e-01]]

  [[ 2.64729601e-01]
   [ 2.64729601e-01]
   [ 2.64729601e-01]]

  ...

  [[-2.64645726e-01]
   [-2.64645726e-01]
   [-2.64645726e-01]]

  [[-1.31632043e-01]
   [-1.31632043e-01]
   [-1.31632043e-01]]

  [[ 1.50769284e-03]
   [ 1.50769284e-03]
   [ 1.50769284e-03]]]


 [[[-2.29221546e-03]
   [-2.29221546e-03]
   [-2.29221546e-03]]

  [[ 7.10715368e-02]
   [ 7.10715368e-02]
   [ 7.10715368e-02]]

  [[ 1.41815725e-01]
   [ 1.41815725e-01]
   [ 1.41815725e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.10715368e-02]
   [-7.10715368e-02]
   [-7.10715368e-02]]

  [[ 2.29221546e-03]
   [ 2.29221546e-03]
   [ 2.29221546e-03]]]


 ...


 [[[-2.76134805e-03]
   [-2.76134805e-03]
   [-2.76134805e-03]]

  [[ 8.56172786e-02]
   [ 8.56172786e-02]
   [ 8.56172786e-02]]

  [[ 1.70840212e-01]
   [ 1.70840212e-01]
   [ 1.70840212e-01]]

  ...

  [[-1.70840249e-01]
   [-1.70840249e-01]
   [-1.70840249e-01]]

  [[-8.56172786e-02]
   [-8.56172786e-02]
   [-8.56172786e-02]]

  [[ 2.76134805e-03]
   [ 2.76134805e-03]
   [ 2.76134805e-03]]]


 [[[-2.95310480e-03]
   [-2.95310480e-03]
   [-2.95310480e-03]]

  [[ 9.15628133e-02]
   [ 9.15628133e-02]
   [ 9.15628133e-02]]

  [[ 1.82703897e-01]
   [ 1.82703897e-01]
   [ 1.82703897e-01]]

  ...

  [[-1.82703937e-01]
   [-1.82703937e-01]
   [-1.82703937e-01]]

  [[-9.15628133e-02]
   [-9.15628133e-02]
   [-9.15628133e-02]]

  [[ 2.95310480e-03]
   [ 2.95310480e-03]
   [ 2.95310480e-03]]]


 [[[-3.04559948e-03]
   [-3.04559948e-03]
   [-3.04559948e-03]]

  [[ 9.44306672e-02]
   [ 9.44306672e-02]
   [ 9.44306672e-02]]

  [[ 1.88426396e-01]
   [ 1.88426396e-01]
   [ 1.88426396e-01]]

  ...

  [[-1.88426437e-01]
   [-1.88426437e-01]
   [-1.88426437e-01]]

  [[-9.44306672e-02]
   [-9.44306672e-02]
   [-9.44306672e-02]]

  [[ 3.04559948e-03]
   [ 3.04559948e-03]
   [ 3.04559948e-03]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
raft.airfoils_cd,input,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  ...

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]

  [[0.0844    ]
   [0.0844    ]
   [0.0844    ]]]


 [[[0.02464074]
   [0.02464074]
   [0.02464074]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  ...

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02464074]
   [0.02464074]
   [0.02464074]]]


 ...


 [[[0.02453927]
   [0.02453927]
   [0.02453927]]

  [[0.02554479]
   [0.02554479]
   [0.02554479]]

  [[0.02867191]
   [0.02867191]
   [0.02867191]]

  ...

  [[0.02867191]
   [0.02867191]
   [0.02867191]]

  [[0.02554479]
   [0.02554479]
   [0.02554479]]

  [[0.02453927]
   [0.02453927]
   [0.02453927]]]


 [[[0.0316851 ]
   [0.0316851 ]
   [0.0316851 ]]

  [[0.03268111]
   [0.03268111]
   [0.03268111]]

  [[0.03577857]
   [0.03577857]
   [0.03577857]]

  ...

  [[0.03577858]
   [0.03577858]
   [0.03577858]]

  [[0.03268111]
   [0.03268111]
   [0.03268111]]

  [[0.0316851 ]
   [0.0316851 ]
   [0.0316851 ]]]


 [[[0.03714706]
   [0.03714706]
   [0.03714706]]

  [[0.0381358 ]
   [0.0381358 ]
   [0.0381358 ]]

  [[0.0412106 ]
   [0.0412106 ]
   [0.0412106 ]]

  ...

  [[0.0412106 ]
   [0.0412106 ]
   [0.0412106 ]]

  [[0.0381358 ]
   [0.0381358 ]
   [0.0381358 ]]

  [[0.03714706]
   [0.03714706]
   [0.03714706]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
raft.airfoils_cm,input,,"[[[[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  ...

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]

  [[-1.00000000e-04]
   [-1.00000000e-04]
   [-1.00000000e-04]]]


 [[[-1.64639797e-03]
   [-1.64639797e-03]
   [-1.64639797e-03]]

  [[ 1.37496848e-01]
   [ 1.37496848e-01]
   [ 1.37496848e-01]]

  [[ 2.48475797e-01]
   [ 2.48475797e-01]
   [ 2.48475797e-01]]

  ...

  [[-2.72128334e-01]
   [-2.72128334e-01]
   [-2.72128334e-01]]

  [[-1.45888898e-01]
   [-1.45888898e-01]
   [-1.45888898e-01]]

  [[ 1.75541395e-03]
   [ 1.75541395e-03]
   [ 1.75541395e-03]]]


 [[[-3.87920021e-03]
   [-3.87920021e-03]
   [-3.87920021e-03]]

  [[ 1.20276966e-01]
   [ 1.20276966e-01]
   [ 1.20276966e-01]]

  [[ 2.39999947e-01]
   [ 2.39999947e-01]
   [ 2.39999947e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50346207e-01]
   [-1.50346207e-01]
   [-1.50346207e-01]]

  [[ 4.84900026e-03]
   [ 4.84900026e-03]
   [ 4.84900026e-03]]]


 ...


 [[[-3.87920021e-03]
   [-3.87920021e-03]
   [-3.87920021e-03]]

  [[ 1.20276966e-01]
   [ 1.20276966e-01]
   [ 1.20276966e-01]]

  [[ 2.39999947e-01]
   [ 2.39999947e-01]
   [ 2.39999947e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50346207e-01]
   [-1.50346207e-01]
   [-1.50346207e-01]]

  [[ 4.84900026e-03]
   [ 4.84900026e-03]
   [ 4.84900026e-03]]]


 [[[-3.87920021e-03]
   [-3.87920021e-03]
   [-3.87920021e-03]]

  [[ 1.20276966e-01]
   [ 1.20276966e-01]
   [ 1.20276966e-01]]

  [[ 2.39999947e-01]
   [ 2.39999947e-01]
   [ 2.39999947e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50346207e-01]
   [-1.50346207e-01]
   [-1.50346207e-01]]

  [[ 4.84900026e-03]
   [ 4.84900026e-03]
   [ 4.84900026e-03]]]


 [[[-3.87920021e-03]
   [-3.87920021e-03]
   [-3.87920021e-03]]

  [[ 1.20276966e-01]
   [ 1.20276966e-01]
   [ 1.20276966e-01]]

  [[ 2.39999947e-01]
   [ 2.39999947e-01]
   [ 2.39999947e-01]]

  ...

  [[-2.99999999e-01]
   [-2.99999999e-01]
   [-2.99999999e-01]]

  [[-1.50346207e-01]
   [-1.50346207e-01]
   [-1.50346207e-01]]

  [[ 4.84900026e-03]
   [ 4.84900026e-03]
   [ 4.84900026e-03]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
raft.rho_water,input,kg/m**3,[1025.],Density of sea water
raft.shear_exp,input,,[0.12],Shear exponent of the wind.
raft.platform_member1_cap_stations,input,,[0. 1.],Location along member of any inner structures (same scaling as stations
raft.platform_member1_cap_t,input,m,[0.05 0.05],Thickness of any internal structures
raft.platform_member2_cap_stations,input,,[0.   0.05 0.2  1.  ],Location along member of any inner structures (same scaling as stations
raft.platform_member2_cap_t,input,m,[0.05 0.05 0.05 0.05],Thickness of any internal structures
raft.platform_member3_cap_stations,input,,[0.   0.05 0.2  1.  ],Location along member of any inner structures (same scaling as stations
