variables,type,units,values,description
towerse.env.distLoads.windLoads_Py,intermediate,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.windLoads_Pz,intermediate,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.env.distLoads.windLoads_qdyn,intermediate,N/m**2,"[137.06608643 145.67389348 152.91884642 159.21575409 164.81025286
 169.86083471 174.47621697 178.73448261 182.69375993 186.39858576
 189.88389917 193.17765654 196.30260517 199.27752243 202.11810381
 204.83761356 207.44737062 209.95711777 212.37530631 214.70931868
 216.96564457 219.15002184 221.26755044 223.32278526 225.31981259
 227.26231341 229.15361627 230.99674173 232.71051774 234.38523457
 236.02289392]",
towerse.env.distLoads.windLoads_z,intermediate,m,"[ 15.          19.33333333  23.66666667  28.          32.33333333
  36.66666667  41.          45.33333333  49.66666667  54.
  58.33333333  62.66666667  67.          71.33333333  75.66666667
  80.          84.33333333  88.66666667  93.          97.33333333
 101.66666667 106.         110.33333333 114.66666667 119.
 123.33333333 127.66666667 132.         136.12866667 140.25733333
 144.386     ]",
towerse.env.distLoads.windLoads_beta,intermediate,deg,[0.],
towerse.z_global,output,m,"[ 15.          19.33333333  23.66666667  28.          32.33333333
  36.66666667  41.          45.33333333  49.66666667  54.
  58.33333333  62.66666667  67.          71.33333333  75.66666667
  80.          84.33333333  88.66666667  93.          97.33333333
 101.66666667 106.         110.33333333 114.66666667 119.
 123.33333333 127.66666667 132.         136.12866667 140.25733333
 144.386     ]",
towerse.env.Uref,intermediate,m/s,[19.72022927],
towerse.wind_reference_height,intermediate,m,[150.],
towerse.env.windLoads.U,intermediate,m/s,"[14.9593237  15.42189768 15.80074121 16.12278166 16.40359606 16.65304212
 16.87777028 17.08248811 17.27065507 17.44489099 17.60722946 17.75928186
 17.90234759 18.03749032 18.16559223 18.28739339 18.40352099 18.51451136
 18.62082689 18.72286908 18.82098892 18.91549508 19.00666051 19.09472778
 19.1799135  19.26241189 19.34239781 19.42002929 19.49193523 19.56194701
 19.63016812]",
towerse.outer_diameter_full,output,m,"[10.         10.         10.         10.         10.         10.
 10.         10.         10.         10.         10.         10.
 10.         10.         10.         10.         10.         10.
 10.         10.         10.         10.         10.         10.
 10.         10.         10.         10.          8.83333333  7.66666667
  6.5       ]",
towerse.joint1,output,m,[ 0.  0. 15.],
towerse.joint2,output,m,[  0.      0.    144.386],
towerse.s_full,output,m,"[0.         0.03349152 0.06698303 0.10047455 0.13396607 0.16745758
 0.2009491  0.23444061 0.26793213 0.30142365 0.33491516 0.36840668
 0.4018982  0.43538971 0.46888123 0.50237275 0.53586426 0.56935578
 0.60284729 0.63633881 0.66983033 0.70332184 0.73681336 0.77030488
 0.80379639 0.83728791 0.87077942 0.90427094 0.93618063 0.96809031
 1.        ]",
towerse.g2e.Px_global,intermediate,N/m,"[ 959.48735718 1020.04638085 1071.30802434 1116.09460895 1156.0770952
 1192.33384821 1225.60489181 1256.42203757 1285.18146106 1312.18693379
 1337.67695508 1361.84251815 1384.8391611  1406.79538807 1427.81870591
 1448.00004802 1467.41707948 1486.13670876 1504.21702562 1521.70881665
 1538.65676508 1555.10041115 1571.07492859 1586.61175824 1601.73912941
 1616.48249219 1630.86487857 1644.90720604 1445.74243194 1257.91480168
 1076.92475476]",
towerse.g2e.Py_global,intermediate,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.Pz_global,intermediate,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.g2e.qdyn_global,intermediate,Pa,"[137.06608643 145.67389348 152.91884642 159.21575409 164.81025286
 169.86083471 174.47621697 178.73448261 182.69375993 186.39858576
 189.88389917 193.17765654 196.30260517 199.27752243 202.11810381
 204.83761356 207.44737062 209.95711777 212.37530631 214.70931868
 216.96564457 219.15002184 221.26755044 223.32278526 225.31981259
 227.26231341 229.15361627 230.99674173 232.71051774 234.38523457
 236.02289392]",
towerse.lc:Px,intermediate,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.lc:Py,intermediate,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]",
towerse.lc:Pz,intermediate,N/m,"[ -959.48735718 -1020.04638085 -1071.30802434 -1116.09460895
 -1156.0770952  -1192.33384821 -1225.60489181 -1256.42203757
 -1285.18146106 -1312.18693379 -1337.67695508 -1361.84251815
 -1384.8391611  -1406.79538807 -1427.81870591 -1448.00004802
 -1467.41707948 -1486.13670876 -1504.21702562 -1521.70881665
 -1538.65676508 -1555.10041115 -1571.07492859 -1586.61175824
 -1601.73912941 -1616.48249219 -1630.86487857 -1644.90720604
 -1445.74243194 -1257.91480168 -1076.92475476]",
towerse.lc:qdyn,intermediate,Pa,"[137.06608643 145.67389348 152.91884642 159.21575409 164.81025286
 169.86083471 174.47621697 178.73448261 182.69375993 186.39858576
 189.88389917 193.17765654 196.30260517 199.27752243 202.11810381
 204.83761356 207.44737062 209.95711777 212.37530631 214.70931868
 216.96564457 219.15002184 221.26755044 223.32278526 225.31981259
 227.26231341 229.15361627 230.99674173 232.71051774 234.38523457
 236.02289392]",
towerse.z_full,output,m,"[  0.           4.33333333   8.66666667  13.          17.33333333
  21.66666667  26.          30.33333333  34.66666667  39.
  43.33333333  47.66666667  52.          56.33333333  60.66666667
  65.          69.33333333  73.66666667  78.          82.33333333
  86.66666667  91.          95.33333333  99.66666667 104.
 108.33333333 112.66666667 117.         121.12866667 125.25733333
 129.386     ]",
towerse.t_full,output,m,"[0.08852841 0.08852841 0.08852841 0.07837737 0.07837737 0.07837737
 0.06814629 0.06814629 0.06814629 0.05778223 0.05778223 0.05778223
 0.04729667 0.04729667 0.04729667 0.03687587 0.03687587 0.03687587
 0.02687252 0.02687252 0.02687252 0.01774901 0.01774901 0.01774901
 0.00991112 0.00991112 0.00991112 0.00793611 0.00793611 0.00793611]",
towerse.tower_height,intermediate,m,[129.386],
towerse.E_full,output,Pa,"[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11]",
towerse.G_full,output,Pa,"[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10]",
towerse.rho_full,output,kg/m**3,"[7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800.]",
towerse.sigma_y_full,output,Pa,"[3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08
 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08 3.45e+08]",
towerse.section_A,output,m**2,"[2.94954119 2.94954119 2.94954119 2.61400871 2.61400871 2.61400871
 2.27512984 2.27512984 2.27512984 1.9311286  1.9311286  1.9311286
 1.58235997 1.58235997 1.58235997 1.23501273 1.23501273 1.23501273
 0.90089346 0.90089346 0.90089346 0.59557482 0.59557482 0.59557482
 0.3328325  0.3328325  0.3328325  0.2509993  0.21987581 0.18875232]",
towerse.section_Asx,output,m**2,"[1.68052616 1.68052616 1.68052616 1.48864311 1.48864311 1.48864311
 1.29503841 1.29503841 1.29503841 1.09870146 1.09870146 1.09870146
 0.89983998 0.89983998 0.89983998 0.70198218 0.70198218 0.70198218
 0.51183826 0.51183826 0.51183826 0.33823535 0.33823535 0.33823535
 0.18895474 0.18895474 0.18895474 0.14248732 0.12482568 0.10716406]",
towerse.section_Asy,output,m**2,"[1.68052616 1.68052616 1.68052616 1.48864311 1.48864311 1.48864311
 1.29503841 1.29503841 1.29503841 1.09870146 1.09870146 1.09870146
 0.89983998 0.89983998 0.89983998 0.70198218 0.70198218 0.70198218
 0.51183826 0.51183826 0.51183826 0.33823535 0.33823535 0.33823535
 0.18895474 0.18895474 0.18895474 0.14248732 0.12482568 0.10716406]",
towerse.section_Ixx,output,kg*m**2,"[36.22224852 36.22224852 36.22224852 32.1669255  32.1669255  32.1669255
 28.05416021 28.05416021 28.05416021 23.86175713 23.86175713 23.86175713
 19.59328367 19.59328367 19.59328367 15.32422352 15.32422352 15.32422352
 11.20080771 11.20080771 11.20080771  7.41830496  7.41830496  7.41830496
  4.15216754  4.15216754  4.15216754  2.77744136  1.86706668  1.18114855]",
towerse.section_Iyy,output,kg*m**2,"[36.22224852 36.22224852 36.22224852 32.1669255  32.1669255  32.1669255
 28.05416021 28.05416021 28.05416021 23.86175713 23.86175713 23.86175713
 19.59328367 19.59328367 19.59328367 15.32422352 15.32422352 15.32422352
 11.20080771 11.20080771 11.20080771  7.41830496  7.41830496  7.41830496
  4.15216754  4.15216754  4.15216754  2.77744136  1.86706668  1.18114855]",
towerse.section_J0,output,kg*m**2,"[72.44449704 72.44449704 72.44449704 64.33385099 64.33385099 64.33385099
 56.10832042 56.10832042 56.10832042 47.72351427 47.72351427 47.72351427
 39.18656734 39.18656734 39.18656734 30.64844704 30.64844704 30.64844704
 22.40161542 22.40161542 22.40161542 14.83660992 14.83660992 14.83660992
  8.30433508  8.30433508  8.30433508  5.55488272  3.73413335  2.3622971 ]",
towerse.section_rho,output,kg/m**3,"[7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800. 7800.
 7800. 7800. 7800. 7800. 7800. 7800.]",
towerse.section_E,output,Pa,"[2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11
 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11 2.e+11]",
towerse.section_G,output,Pa,"[7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10
 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10 7.93e+10]",
towerse.section_L,output,m,"[4.33333333 4.33333333 4.33333333 4.33333333 4.33333333 4.33333333
 4.33333333 4.33333333 4.33333333 4.33333333 4.33333333 4.33333333
 4.33333333 4.33333333 4.33333333 4.33333333 4.33333333 4.33333333
 4.33333333 4.33333333 4.33333333 4.33333333 4.33333333 4.33333333
 4.33333333 4.33333333 4.33333333 4.12866667 4.12866667 4.12866667]",
towerse.post.cylinder_Fz,intermediate,N,"[[-20636115.76046086]
 [-19653992.80020028]
 [-18671663.81677626]
 [-17800366.52482557]
 [-16928905.69966837]
 [-16057295.73783641]
 [-15297871.07383465]
 [-14538318.61789796]
 [-13778646.54626777]
 [-13132882.36937712]
 [-12487011.68087851]
 [-11841039.82965609]
 [-11310572.30096956]
 [-10780012.58074944]
 [-10249364.47668486]
 [ -9833761.05268057]
 [ -9418075.82541526]
 [ -9002311.66204595]
 [ -8697216.37027439]
 [ -8392047.20482912]
 [ -8086806.41439913]
 [ -7882695.1533509 ]
 [ -7678516.30019017]
 [ -7474271.6720923 ]
 [ -7357049.94132631]
 [ -7239765.73586483]
 [ -7122420.55972154]
 [ -7036838.87133072]
 [ -6961876.8446879 ]
 [ -6897497.34106932]]",
towerse.post.cylinder_Vx,intermediate,N,"[[3787151.05078477]
 [3787287.70444839]
 [3787419.57834944]
 [3787500.996351  ]
 [3787623.09605998]
 [3787740.38233671]
 [3787760.5253906 ]
 [3787868.0405024 ]
 [3787970.72485104]
 [3787927.62586206]
 [3788020.56754065]
 [3788108.66707695]
 [3788000.54911831]
 [3788078.95362926]
 [3788152.50576341]
 [3787981.33300528]
 [3788045.25606504]
 [3788104.31257135]
 [3787878.87950519]
 [3787928.38876954]
 [3787973.0051868 ]
 [3787710.78325146]
 [3787745.94151247]
 [3787776.15096173]
 [3787500.44854337]
 [3787521.26543604]
 [3787536.99315469]
 [3787423.00387116]
 [3787386.59729949]
 [3787344.06432446]]",
towerse.post.cylinder_Vy,intermediate,N,"[[22430.22611389]
 [22431.39948652]
 [22432.54466678]
 [22433.26721614]
 [22434.35413168]
 [22435.41256254]
 [22435.63005798]
 [22436.63020139]
 [22437.60170345]
 [22437.27677082]
 [22438.19021391]
 [22439.07491172]
 [22438.16397253]
 [22438.99108642]
 [22439.78936893]
 [22438.27182839]
 [22439.01334743]
 [22439.72593326]
 [22437.63125354]
 [22438.28847047]
 [22438.91658624]
 [22436.34183045]
 [22436.91716806]
 [22437.46306786]
 [22434.53994599]
 [22435.03930599]
 [22435.50841531]
 [22434.30867962]
 [22434.18768732]
 [22434.10897771]]",
towerse.post.cylinder_Mxx,intermediate,N*m,"[[-3993487.59894781]
 [-3895955.63223765]
 [-3798241.21588046]
 [-3700355.67006051]
 [-3602310.08343314]
 [-3504128.13629435]
 [-3405818.8442177 ]
 [-3307387.87914613]
 [-3208857.35864261]
 [-3110233.42496951]
 [-3011515.74257852]
 [-2912724.98486946]
 [-2813863.49227015]
 [-2714924.1487028 ]
 [-2615926.38982156]
 [-2516867.21885211]
 [-2417731.99557512]
 [-2318539.27983837]
 [-2219277.7095234 ]
 [-2119924.37412212]
 [-2020497.63952509]
 [-1920970.58709876]
 [-1821310.71414953]
 [-1721537.66303765]
 [-1621585.48055611]
 [-1521406.66761971]
 [-1421026.26806107]
 [-1325157.74187883]
 [-1228965.58816358]
 [-1132299.1415378 ]]",
towerse.post.cylinder_Myy,intermediate,N*m,"[[ 4.65086658e+08]
 [ 4.48635876e+08]
 [ 4.32164147e+08]
 [ 4.15672954e+08]
 [ 3.99163921e+08]
 [ 3.82639981e+08]
 [ 3.66102307e+08]
 [ 3.49551896e+08]
 [ 3.32991417e+08]
 [ 3.16421688e+08]
 [ 2.99843064e+08]
 [ 2.83257969e+08]
 [ 2.66666793e+08]
 [ 2.50069252e+08]
 [ 2.33467560e+08]
 [ 2.16861574e+08]
 [ 2.00250444e+08]
 [ 1.83636233e+08]
 [ 1.67018075e+08]
 [ 1.50394772e+08]
 [ 1.33768351e+08]
 [ 1.17136795e+08]
 [ 1.00499126e+08]
 [ 8.38575704e+07]
 [ 6.72076435e+07]
 [ 5.05502853e+07]
 [ 3.38885830e+07]
 [ 1.80090881e+07]
 [ 2.12656529e+06]
 [-1.37555518e+07]]",
towerse.post.cylinder_Mzz,intermediate,N*m,"[[9737505.17574735]
 [9737464.29506189]
 [9737423.40473343]
 [9737482.29094687]
 [9737441.35827069]
 [9737400.41825612]
 [9737471.83119227]
 [9737430.84020637]
 [9737389.8426679 ]
 [9737481.32064004]
 [9737440.25548902]
 [9737399.18391122]
 [9737524.0724378 ]
 [9737482.9036589 ]
 [9737441.72807338]
 [9737624.26316191]
 [9737582.93642796]
 [9737541.60191054]
 [9737832.2611657 ]
 [9737790.66971874]
 [9737749.06855657]
 [9738272.62731929]
 [9738230.53412484]
 [9738188.42735518]
 [9739363.2299076 ]
 [9739319.96250308]
 [9739276.67242342]
 [9740090.52816098]
 [9740536.25138145]
 [9741135.94354872]]",
towerse.qdyn,output,Pa,"[[137.06608643]
 [145.67389348]
 [152.91884642]
 [159.21575409]
 [164.81025286]
 [169.86083471]
 [174.47621697]
 [178.73448261]
 [182.69375993]
 [186.39858576]
 [189.88389917]
 [193.17765654]
 [196.30260517]
 [199.27752243]
 [202.11810381]
 [204.83761356]
 [207.44737062]
 [209.95711777]
 [212.37530631]
 [214.70931868]
 [216.96564457]
 [219.15002184]
 [221.26755044]
 [223.32278526]
 [225.31981259]
 [227.26231341]
 [229.15361627]
 [230.99674173]
 [232.71051774]
 [234.38523457]
 [236.02289392]]",
towerse.nodes_xyz,output,m,"[[  0.           0.          15.        ]
 [  0.           0.          19.33333333]
 [  0.           0.          23.66666667]
 [  0.           0.          28.        ]
 [  0.           0.          32.33333333]
 [  0.           0.          36.66666667]
 [  0.           0.          41.        ]
 [  0.           0.          45.33333333]
 [  0.           0.          49.66666667]
 [  0.           0.          54.        ]
 [  0.           0.          58.33333333]
 [  0.           0.          62.66666667]
 [  0.           0.          67.        ]
 [  0.           0.          71.33333333]
 [  0.           0.          75.66666667]
 [  0.           0.          80.        ]
 [  0.           0.          84.33333333]
 [  0.           0.          88.66666667]
 [  0.           0.          93.        ]
 [  0.           0.          97.33333333]
 [  0.           0.         101.66666667]
 [  0.           0.         106.        ]
 [  0.           0.         110.33333333]
 [  0.           0.         114.66666667]
 [  0.           0.         119.        ]
 [  0.           0.         123.33333333]
 [  0.           0.         127.66666667]
 [  0.           0.         132.        ]
 [  0.           0.         136.12866667]
 [  0.           0.         140.25733333]
 [  0.           0.         144.386     ]]",
towerse.rna_mass,intermediate,kg,[951334.48288811],
towerse.rna_I,intermediate,kg*m**2,"[3.78224314e+08 2.72487855e+08 2.53187505e+08 8.52611924e+02
 1.94199094e+07 1.70683998e+05]",
towerse.rna_cg,intermediate,m,[-7.33983021 -0.09929177  4.60295305],
towerse.tower.rna_F,intermediate,N,"[[ 3787067.18646507]
 [   22429.54746631]
 [-6897497.34106932]]",
towerse.tower.rna_M,intermediate,N*m,"[[ -1132298.91249049]
 [-13755550.63099198]
 [  9736605.19016181]]",
towerse.Px,output,N/m,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
towerse.Py,output,N/m,"[[0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]
 [0.]]",
towerse.Pz,output,N/m,"[[ -959.48735718]
 [-1020.04638085]
 [-1071.30802434]
 [-1116.09460895]
 [-1156.0770952 ]
 [-1192.33384821]
 [-1225.60489181]
 [-1256.42203757]
 [-1285.18146106]
 [-1312.18693379]
 [-1337.67695508]
 [-1361.84251815]
 [-1384.8391611 ]
 [-1406.79538807]
 [-1427.81870591]
 [-1448.00004802]
 [-1467.41707948]
 [-1486.13670876]
 [-1504.21702562]
 [-1521.70881665]
 [-1538.65676508]
 [-1555.10041115]
 [-1571.07492859]
 [-1586.61175824]
 [-1601.73912941]
 [-1616.48249219]
 [-1630.86487857]
 [-1644.90720604]
 [-1445.74243194]
 [-1257.91480168]
 [-1076.92475476]]",
towerse.tower_mass,output,kg,[1483073.63407409],
towerse.tower_center_of_mass,output,m,[41.67331385],
towerse.tower_I_base,output,kg*m**2,"[3.94943699e+09 3.94943699e+09 3.64741799e+07 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
rotorse.r,intermediate,m,"[  3.97         8.00448276  12.03896552  16.07344828  20.10793103
  24.14241379  28.17689655  32.21137931  36.24586207  40.28034483
  44.31482759  48.34931034  52.3837931   56.41827586  60.45275862
  64.48724138  68.52172414  72.5562069   76.59068966  80.62517241
  84.65965517  88.69413793  92.72862069  96.76310345 100.79758621
 104.83206897 108.86655172 112.90103448 116.93551724 120.97      ]",radial locations where blade is defined (should be increasing and not go all the way to hub or tip)
rotorse.chord,intermediate,m,"[5.2        5.22650407 5.31940068 5.45807455 5.60303811 5.71828659
 5.76463061 5.71505311 5.53918229 5.29078046 5.03400569 4.81566004
 4.62323753 4.43204022 4.24519817 4.06576739 3.89604023 3.73508417
 3.57920635 3.42458014 3.26794659 3.11185969 2.95714018 2.80002199
 2.63678999 2.46413177 2.28345025 2.09568171 1.90248511 0.5       ]",chord length at each section
rotorse.ccblade.theta_in,intermediate,rad,"[ 0.2721763   0.27032136  0.25679956  0.23271552  0.20321732  0.17325891
  0.14740155  0.12742646  0.10871461  0.09126429  0.07584973  0.06295039
  0.05200766  0.04228859  0.03358702  0.02563348  0.01844002  0.01209022
  0.00620176  0.00031992 -0.00621137 -0.01450412 -0.02398669 -0.03232521
 -0.03736348 -0.03794579 -0.03678035 -0.03399756 -0.02901262 -0.02168376]",twist angle at each section (positive decreases angle of attack)
rotorse.airfoils_cl,intermediate,,"[[[[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  ...

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]

  [[ 1.00000000e-04]
   [ 1.00000000e-04]
   [ 1.00000000e-04]]]


 [[[ 9.83423424e-05]
   [ 9.83423424e-05]
   [ 9.83423424e-05]]

  [[ 9.51605687e-03]
   [ 9.51605687e-03]
   [ 9.51605687e-03]]

  [[ 1.91408306e-02]
   [ 1.91408306e-02]
   [ 1.91408306e-02]]

  ...

  [[-1.89403741e-02]
   [-1.89403741e-02]
   [-1.89403741e-02]]

  [[-9.31977220e-03]
   [-9.31977220e-03]
   [-9.31977220e-03]]

  [[ 1.01376167e-04]
   [ 1.01376167e-04]
   [ 1.01376167e-04]]]


 [[[-4.18326829e-05]
   [-4.18326829e-05]
   [-4.18326829e-05]]

  [[ 7.25598792e-02]
   [ 7.25598792e-02]
   [ 7.25598792e-02]]

  [[ 1.46382470e-01]
   [ 1.46382470e-01]
   [ 1.46382470e-01]]

  ...

  [[-1.46199491e-01]
   [-1.46199491e-01]
   [-1.46199491e-01]]

  [[-7.24048050e-02]
   [-7.24048050e-02]
   [-7.24048050e-02]]

  [[ 2.19074326e-04]
   [ 2.19074326e-04]
   [ 2.19074326e-04]]]


 ...


 [[[-2.29221546e-03]
   [-2.29221546e-03]
   [-2.29221546e-03]]

  [[ 7.10715368e-02]
   [ 7.10715368e-02]
   [ 7.10715368e-02]]

  [[ 1.41815725e-01]
   [ 1.41815725e-01]
   [ 1.41815725e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.10715368e-02]
   [-7.10715368e-02]
   [-7.10715368e-02]]

  [[ 2.29221546e-03]
   [ 2.29221546e-03]
   [ 2.29221546e-03]]]


 [[[-2.29221546e-03]
   [-2.29221546e-03]
   [-2.29221546e-03]]

  [[ 7.10715368e-02]
   [ 7.10715368e-02]
   [ 7.10715368e-02]]

  [[ 1.41815725e-01]
   [ 1.41815725e-01]
   [ 1.41815725e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.10715368e-02]
   [-7.10715368e-02]
   [-7.10715368e-02]]

  [[ 2.29221546e-03]
   [ 2.29221546e-03]
   [ 2.29221546e-03]]]


 [[[-2.29221546e-03]
   [-2.29221546e-03]
   [-2.29221546e-03]]

  [[ 7.10715368e-02]
   [ 7.10715368e-02]
   [ 7.10715368e-02]]

  [[ 1.41815725e-01]
   [ 1.41815725e-01]
   [ 1.41815725e-01]]

  ...

  [[-1.41815756e-01]
   [-1.41815756e-01]
   [-1.41815756e-01]]

  [[-7.10715368e-02]
   [-7.10715368e-02]
   [-7.10715368e-02]]

  [[ 2.29221546e-03]
   [ 2.29221546e-03]
   [ 2.29221546e-03]]]]","lift coefficients, spanwise"
rotorse.airfoils_cd,intermediate,,"[[[[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  ...

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]

  [[0.35      ]
   [0.35      ]
   [0.35      ]]]


 [[[0.34034092]
   [0.34034092]
   [0.34034092]]

  [[0.34026441]
   [0.34026441]
   [0.34026441]]

  [[0.34002629]
   [0.34002629]
   [0.34002629]]

  ...

  [[0.34002629]
   [0.34002629]
   [0.34002629]]

  [[0.34026441]
   [0.34026441]
   [0.34026441]]

  [[0.34034092]
   [0.34034092]
   [0.34034092]]]


 [[[0.26353982]
   [0.26353982]
   [0.26353982]]

  [[0.26298696]
   [0.26298696]
   [0.26298696]]

  [[0.26125469]
   [0.26125469]
   [0.26125469]]

  ...

  [[0.26125469]
   [0.26125469]
   [0.26125469]]

  [[0.26298696]
   [0.26298696]
   [0.26298696]]

  [[0.26353982]
   [0.26353982]
   [0.26353982]]]


 ...


 [[[0.02464074]
   [0.02464074]
   [0.02464074]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  ...

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02464074]
   [0.02464074]
   [0.02464074]]]


 [[[0.02464074]
   [0.02464074]
   [0.02464074]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  ...

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02464074]
   [0.02464074]
   [0.02464074]]]


 [[[0.02464074]
   [0.02464074]
   [0.02464074]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  ...

  [[0.02942872]
   [0.02942872]
   [0.02942872]]

  [[0.0258057 ]
   [0.0258057 ]
   [0.0258057 ]]

  [[0.02464074]
   [0.02464074]
   [0.02464074]]]]","drag coefficients, spanwise"
